,X1,X2,corr,highest_corr,highest_k
198,4,44,,,['k =0']
199,4,45,,,['k =0']
200,4,46,,,['k =0']
201,4,47,,,['k =0']
202,4,48,,,['k =0']
203,4,49,,,['k =0']
204,4,50,,,['k =0']
205,4,51,,,['k =0']
206,4,52,,,['k =0']
207,4,53,,,['k =0']
208,4,54,,,['k =0']
209,4,55,,,['k =0']
210,5,6,,,['k =0']
211,5,7,,,['k =0']
212,5,8,,,['k =0']
213,5,9,,,['k =0']
214,5,10,,,['k =0']
215,5,11,,,['k =0']
216,5,12,,,['k =0']
217,5,13,,,['k =0']
218,5,14,,,['k =0']
219,5,15,,,['k =0']
220,5,16,,,['k =0']
221,5,17,,,['k =0']
222,5,18,,,['k =0']
223,5,19,,,['k =0']
224,5,20,,,['k =0']
225,5,21,,,['k =0']
226,5,22,,,['k =0']
227,5,23,,,['k =0']
228,5,24,,,['k =0']
229,5,25,,,['k =0']
230,5,26,,,['k =0']
231,5,27,,,['k =0']
232,5,28,,,['k =0']
233,5,29,,,['k =0']
234,5,30,,,['k =0']
235,5,31,,,['k =0']
236,5,32,,,['k =0']
237,5,33,,,['k =0']
238,5,34,,,['k =0']
239,5,35,,,['k =0']
240,5,36,,,['k =0']
241,5,37,,,['k =0']
242,5,38,,,['k =0']
243,5,39,,,['k =0']
244,5,40,,,['k =0']
245,5,41,,,['k =0']
246,5,42,,,['k =0']
247,5,43,,,['k =0']
248,5,44,,,['k =0']
249,5,45,,,['k =0']
250,5,46,,,['k =0']
251,5,47,,,['k =0']
252,5,48,,,['k =0']
253,5,49,,,['k =0']
254,5,50,,,['k =0']
255,5,51,,,['k =0']
256,5,52,,,['k =0']
257,5,53,,,['k =0']
258,5,54,,,['k =0']
259,5,55,,,['k =0']
260,6,7,,,['k =0']
261,6,8,,,['k =0']
262,6,9,,,['k =0']
263,6,10,,,['k =0']
264,6,11,,,['k =0']
265,6,12,,,['k =0']
266,6,13,,,['k =0']
267,6,14,,,['k =0']
268,6,15,,,['k =0']
269,6,16,,,['k =0']
270,6,17,,,['k =0']
271,6,18,,,['k =0']
272,6,19,,,['k =0']
273,6,20,,,['k =0']
274,6,21,,,['k =0']
275,6,22,,,['k =0']
276,6,23,,,['k =0']
277,6,24,,,['k =0']
278,6,25,,,['k =0']
